img_id,img_name,img_caption
0,0.jpg,"Appetizer, Close-up, Snack, Food, Maasdam, Cheese"
3,3.jpg,"Grape, Fruit, Boiled, Bun, Food, Cheese, Tea - ..."
6,6.jpg,"Male, Teenager, Black Color, Ethnic, Child, Adult, African ..."
9,9.jpg,"Drink, Breakfast, Food, Juice, Objects/Equipment, Fruit, Freshness, Morning, ..."
12,12.jpg,"Onion, Picnic, Meat, Lunch, Kebab, Pork, Preparation, Refreshment, ..."
15,15.jpg,"Bird, Snowy Owl, Carnivore, Animal, Animals And Pets, ..."
18,18.jpg,"Toddler, Outdoors, Portrait, Male, 18-24 Months, Color Image, ..."
21,21.jpg,"Portrait, Male Beauty, Men, Male, Bossy, Ordering, White ..."
24,24.jpg,"Cathedral, Europe, Church, Orthodox, Jason Day - Actor, ..."
27,27.jpg,"Wine, Liquid, Alcohol, Drink, Isolated On White, Close-up, ..."
30,30.jpg,"Breakfast, Wheat, Vegetable, Cheese, Bread, Food And Drink, ..."
33,33.jpg,"Meal, Nori, Gourmet, Sushi, No People, Maki Sushi, ..."
36,36.jpg,"Insect, Spooky, Spider, Arachnid, Animal Eye, Animal, Carnivore, ..."
39,39.jpg,"Crockery, Pork, Lunch, Lettuce, Tomato, Salad, Kidney Bean, ..."
42,42.jpg,"Twin, Family, Mother, Daughter, Sister, Father, Husband, Families, ..."
45,45.jpg,"Chocolate, Chocolate Candy, Pastry, Butter, Photography Themes, Market ..."
48,48.jpg,"Tulip, Orange Color, Flower, Vase, Beauty In Nature, ..."
51,51.jpg,"Pizza, Eating, Meal, Snack, Identity, Lunch, Pizzeria, Textured ..."
54,54.jpg,"Child, Finger Painting, Mother, Toddler, Colors, 15-18 Months, ..."
57,57.jpg,"Chocolate, Lava, Cake, Fruit, Surface Level, Berry Fruit, ..."
60,60.jpg,"Pig, Outdoors, Mammal, Animal, African Wart Hog, Wildlife, ..."
63,63.jpg,"Male, People, The Human Body, Vector, Men, Back ..."
66,66.jpg,"Adult, People, Hobbies, Headphones, Women, MP3 Player, Technology, ..."
69,69.jpg,"Human Hand, Family, Mother, Father, Daughter, Parent, People, ..."
